56,andrewyng/context-hub,https://github.com/andrewyng/context-hub,TBD,TBD,TBD
57,ankitects/anki,https://github.com/ankitects/anki,TBD,TBD,TBD
58,anthropics/claude-code-action,https://github.com/anthropics/claude-code-action,TBD,TBD,TBD
59,anthropics/skills,https://github.com/anthropics/skills,TBD,TBD,TBD
60,apurvsinghgautam/robin,https://github.com/apurvsinghgautam/robin,TBD,TBD,TBD
61,ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,TBD,TBD,TBD
62,block/goose,https://github.com/block/goose,TBD,TBD,TBD
63,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,TBD,TBD,TBD
64,carlvellotti/claude-code-pm-course,https://github.com/carlvellotti/claude-code-pm-course,TBD,TBD,TBD
65,cheahjs/free-llm-api-resources,https://github.com/cheahjs/free-llm-api-resources,TBD,TBD,TBD
66,chidiwilliams/buzz,https://github.com/chidiwilliams/buzz,TBD,TBD,TBD
67,cilium/cilium,https://github.com/cilium/cilium,TBD,TBD,TBD
68,cinnyapp/cinny,https://github.com/cinnyapp/cinny,TBD,TBD,TBD
69,cocoindex-io/cocoindex,https://github.com/cocoindex-io/cocoindex,TBD,TBD,TBD
70,coleam00/Archon,https://github.com/coleam00/Archon,TBD,TBD,TBD
71,databricks-solutions/ai-dev-kit,https://github.com/databricks-solutions/ai-dev-kit,TBD,TBD,TBD
72,datalab-to/chandra,https://github.com/datalab-to/chandra,TBD,TBD,TBD
73,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,TBD,TBD,TBD
74,dimensionalOS/dimos,https://github.com/dimensionalOS/dimos,TBD,TBD,TBD
75,disler/claude-code-hooks-mastery,https://github.com/disler/claude-code-hooks-mastery,TBD,TBD,TBD
76,dolthub/dolt,https://github.com/dolthub/dolt,TBD,TBD,TBD
77,f/prompts.chat,https://github.com/f/prompts.chat,TBD,TBD,TBD
78,farion1231/cc-switch,https://github.com/farion1231/cc-switch,TBD,TBD,TBD
79,fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,TBD,TBD,TBD
80,fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,TBD,TBD,TBD
81,forrestchang/andrej-karpathy-skills,https://github.com/forrestchang/andrej-karpathy-skills,TBD,TBD,TBD
82,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,TBD,TBD,TBD
